Date,Operating_Income,Expenses,Assets,Liabilities,Equity,Revenue,Cash_Flow,Net_Income,Debt_to_Equity,ROA,Profit_Margin,Interest_Expense,Tax_Expense,Dividend_Payout
2/16/2015,3805399.68,884073.51,107471067.6,118547261,55010147.69,6293700.68,7608347.73,2921326.18,2.16,0.03,0.46,150555.9,1454781.3,2038785.42
2/17/2015,5680612.19,4985934.13,421730433.6,93957057.95,47076228.55,9335013.62,1558992.98,694678.06,2,0,0.07,1496934.18,752109.05,2602035.25
2/18/2015,5920392.51,2759877.55,401912639.5,41906081.24,88347426.96,13057468.86,6226368.83,3160514.97,0.47,0.01,0.24,1288734.83,142222.08,572417.7
2/19/2015,2663690.1,3179232.58,368935114,150130232,66827702.91,4619868.91,1315119.05,-515542.48,2.25,0,-0.11,1203436.4,849947.55,2455999.61
2/20/2015,9726261.65,801844.15,66272171.24,122694123,57925365.98,14147629.5,7859431.83,8924417.5,2.12,0.13,0.63,1509199.85,1269589.45,2574847.63
2/21/2015,7976195.41,3874822.12,186407760.2,387238606.6,20385517.8,10958139.5,3362123.74,4101373.29,19,0.02,0.37,1382938.59,1495431.46,2751587.28
2/22/2015,9455490.47,1444575.17,168400656.5,231929354,64507410.04,12702551.76,6314259.04,8010915.31,3.6,0.05,0.63,491175.78,673997.6,869326.76
2/23/2015,9053446.15,4541244.3,212061383.4,151965274.8,20548351.51,9230479,3069433.12,4512201.85,7.4,0.02,0.49,769713.99,514433.18,2721463.89
2/24/2015,6381099.81,1423128.38,89439236.04,240577688.4,40348591.8,12133717.12,5207516.58,4957971.43,5.96,0.06,0.41,339609.27,1364647.28,1029921.99
2/25/2015,9296868.12,1358094.74,471631020.4,72894746.51,22855776.83,2210605.17,1940120.64,7938773.37,3.19,0.02,3.59,346728.33,327301.09,1701780.24
2/26/2015,1796432.52,664473.51,299211008.3,188736624.7,72286628.23,12638945.52,1595157.64,1131959.01,2.61,0,0.09,1384771.92,942371.93,246471.67
2/27/2015,2763845.76,2624301.25,187485939.8,257969042.1,28562690.25,2521805.17,7535481.05,139544.51,9.03,0,0.06,1731340.2,638285.92,227255.16
2/28/2015,1407045.6,3041785.1,228641682.7,205781176.1,45267343.59,13568873.89,7382354.58,-1634739.5,4.55,-0.01,-0.12,1929191.91,109569.43,2189082.32
3/1/2015,3927972.98,795688.88,251241143.2,172675944.3,90610729.99,14895515.71,7156017.05,3132284.1,1.91,0.01,0.21,1293859.52,553568.29,1388991.94
3/2/2015,4498095.61,3989874.28,320267450,397662387.8,28388474.51,5822877.01,5190750.88,508221.33,14.01,0,0.09,449792.51,434581.36,843247.89
3/3/2015,3442141.29,2539799.76,282055742.5,354519609.6,55702455.76,4734141.23,6562011.58,902341.53,6.36,0,0.19,300735.66,1044832.17,652199.14
3/4/2015,8458637.58,2859756.21,463726388,256894264.1,47734449.5,11949723.73,1017777.03,5598881.37,5.38,0.01,0.47,1644416.85,1425746.22,2042865.12
3/5/2015,4210779.94,2483432.36,273633567.3,236363397.3,11631163.69,5289342.43,3010917.81,1727347.58,20.32,0.01,0.33,1199637.31,438668.42,101164.48
3/6/2015,3528410.59,2303433.77,496471106.7,255850982.3,81348230.22,13252310.98,2852773.44,1224976.81,3.15,0,0.09,1274741.54,1226625.61,2437084.39
3/7/2015,5884264.75,3018381.49,433141231,96498600.97,16214131.57,3336953.7,5267339.91,2865883.26,5.95,0.01,0.86,1584777.97,130271.73,329823.86
3/8/2015,2268318.02,1198581.11,143829731.5,170152342.4,52682951.89,3637417.55,3169683.3,1069736.92,3.23,0.01,0.29,1436226.73,830275.46,655319.88
3/9/2015,8219772.83,1318676.59,468767846.6,34994622.5,60461046.54,14728970.22,1613800.86,6901096.24,0.58,0.01,0.47,1685470.68,152297.59,1220085.55
3/10/2015,1670955.79,4378035.29,102364879.1,200707494.2,66558381.1,10759905.68,4973503.07,-2707079.5,3.02,-0.03,-0.25,206806.42,1404347.84,1506090.35
3/11/2015,9881982.43,4757519.58,417852368.8,226349341.9,71976846.64,13009533.92,6607879.41,5124462.85,3.14,0.01,0.39,1520289.21,1161209.36,1129485.84
3/12/2015,7950202.92,2179891.92,221280482.1,106544899.7,32794514.52,6216281.91,3365926.21,5770311,3.25,0.03,0.93,1716620.24,1004027.37,1030065.28
3/13/2015,2788441.13,1718351.03,445088444.2,386330961.9,10898089.9,10794288.74,1492015.36,1070090.1,35.45,0,0.1,643656.58,1244649.75,2895356.44
3/14/2015,1049699.05,3397997.94,440625510.6,365592752.2,75109929.61,9725143.76,1975161.48,-2348298.89,4.87,-0.01,-0.24,1316849.82,988903.7,1960581.08
3/15/2015,8339152.86,2339303.77,412666430.1,294414429.5,58209093.94,9840951.56,2281124.79,5999849.09,5.06,0.01,0.61,696907.92,1454969.38,167955.57
3/16/2015,7361716.09,614238.6,405513696.3,222686918.9,85250593.29,10872921.97,2749231.95,6747477.49,2.61,0.02,0.62,1920145.03,1085239.02,1347510.13
3/17/2015,7561064.51,1202686.69,187105612.6,350588280.7,83924952.66,9479669.25,5320963.03,6358377.82,4.18,0.03,0.67,163504.79,1390754.98,2637525.23
3/18/2015,7941433.12,3721875.03,86413677.37,69647890.65,85899355.1,7577810.8,5007091.13,4219558.09,0.81,0.05,0.56,1201606.4,799841.24,974222.94
3/19/2015,1666401.87,3465157.74,231341080.4,320393721.8,53658519.4,5586995.03,5720598.96,-1798755.87,5.97,-0.01,-0.32,416356.74,219743.4,374213.4
3/20/2015,4226191.56,621931.97,128086031.7,67431909.31,40026555.63,11991557.3,3218764.88,3604259.59,1.68,0.03,0.3,1453218.39,815857.7,2299315.84
3/21/2015,2042821.54,1498874.73,362727990,321800051.8,81240238.23,4941541.59,6679982.39,543946.81,3.96,0,0.11,434191.54,233965.6,1857440.11
3/22/2015,8767930.83,1539836.58,205744876.9,124791675.9,50616470.17,11000605.98,2030657.46,7228094.25,2.47,0.04,0.66,547228.2,909115.54,1753906.27
3/23/2015,6609683.14,3523517.35,489024590.4,353294420.8,26509797.68,5033326.69,4017805.61,3086165.8,13.33,0.01,0.61,1039304.54,749614.94,255372.02
3/24/2015,3978082.22,588697.42,338437434.8,378735995.7,86947661.76,10129292.21,6507040.41,3389384.8,4.36,0.01,0.33,1838186.4,952734.33,507447.13
3/25/2015,1572025.15,968488.62,420116253.6,76542468.37,89430388.91,11712017.47,1851189.86,603536.53,0.86,0,0.05,502257.31,64568.12,1905393.25
3/26/2015,3798840.9,4099622.38,109636102.7,195816729.9,51967878.05,4843280.56,1323973.35,-300781.49,3.77,0,-0.06,374056.04,332518.71,702689.14
3/27/2015,3926649.9,1303450.98,437906517,392775203.7,16812975.46,2779262.91,7127629.76,2623198.92,23.36,0.01,0.94,1542055.98,762429.13,1561803.23
3/28/2015,7566455.61,3437357.49,465240735.7,203694825.7,44904348.09,3702658.66,3071972.47,4129098.12,4.54,0.01,1.12,1051177.11,1428230.16,1680156.89
3/29/2015,6738017.24,1571822.51,269177863.5,348148058.6,82318389.35,9877960.57,5629025.94,5166194.73,4.23,0.02,0.52,1832391.71,606233.11,922170.85
3/30/2015,8984914.68,947486.27,322813822,243717978.4,91159662.57,13042803.28,690114.53,8037428.42,2.67,0.02,0.62,378567.66,665339.44,2850432.95
3/31/2015,5249934.33,1594274.86,394164410.4,162625365,28312546.82,2584958.68,5675351.66,3655659.47,5.74,0.01,1.41,1327263,1086309.33,2543145.91
4/1/2015,2076348.21,3750201.19,128677382.3,128597751.1,16027625.08,11543966.37,2870759.84,-1673852.98,8.02,-0.01,-0.14,542470.38,925499.5,2194883.17
4/2/2015,7419203.09,4350634.11,276154734.4,97224774.61,88961540.78,6437142.4,918056.4,3068568.98,1.09,0.01,0.48,397844.81,483442.92,326182.21
4/3/2015,7847065.44,4235989.39,229398362.5,309483312.7,45046444.51,8220868.81,5073595.71,3611076.05,6.87,0.02,0.44,1398515.89,645683.77,407777.06
4/4/2015,6051494.78,2287325.88,115868296.5,166885392.6,58758486.78,14075174.15,2306028.62,3764168.89,2.84,0.03,0.27,1228000.78,365664.71,1529065.9
4/5/2015,7938704.62,3506383.11,215390490,214284675.6,97125923.08,6315629.56,3401054.32,4432321.51,2.21,0.02,0.7,1534172.17,1450731.12,566068.71
4/6/2015,5444160.37,1422429.33,80677539.22,207083682.4,15990825.51,8049380.14,1104356.09,4021731.04,12.95,0.05,0.5,687978.9,239419.85,2936969.84
4/7/2015,5704595.46,1819164.79,61615358.13,239366031.1,68348620.67,2177871.39,1603724.38,3885430.68,3.5,0.06,1.78,951146.15,589163.34,559708.68
4/8/2015,4847869.17,4533511.18,110824830.1,348919315.3,16669488.03,3060783.36,2734829.27,314357.98,20.93,0,0.1,870396.19,87466.51,1513656.72
4/9/2015,1228772.14,558508.66,483401800.2,392680950.6,43792203.56,5361690.68,1173196.25,670263.48,8.97,0,0.13,1969769.98,371580.26,1155951.06
4/10/2015,1971022.84,884788.39,297288291.2,174881999.3,82343309.07,2362079.13,7331196.99,1086234.45,2.12,0,0.46,655273.02,1181683.15,1954220.62
4/11/2015,1282862.67,1435488.15,484619972.5,334457190.4,49012500.95,10207879.24,545352.82,-152625.48,6.82,0,-0.01,660152.75,341704.09,474205.59
4/12/2015,6727693.7,619394.92,244624045.3,310520562,99746411.85,7543178.64,4128951.64,6108298.78,3.11,0.02,0.81,773641.6,166091.93,1347917.64
4/13/2015,3829203.83,1316459.46,190317259.9,237941001.6,60315335.65,9125887.64,1424355.94,2512744.37,3.94,0.01,0.28,1172728.75,737957.11,896644.6
4/14/2015,5577136.22,3123687.02,277763838.3,383297914.6,38904593.74,4270413.42,2807593.17,2453449.2,9.85,0.01,0.57,579413.21,64455.39,2674479.42
4/15/2015,9168098.27,2396410.48,247780259.9,96180315.9,29810019.33,5847116.38,7445446.7,6771687.79,3.23,0.03,1.16,1839050.89,172910.92,217698.57
4/16/2015,3243630.06,4517022.7,97549107.92,61520399.92,41546848.09,10629718.17,1712709.15,-1273392.64,1.48,-0.01,-0.12,604802.57,1221057.51,2749809.73
4/17/2015,4693446.31,4178496.03,338371841.6,344505547.4,43527994.64,14548935.41,7743742.4,514950.28,7.91,0,0.04,1802049.89,1168636.35,2515683
4/18/2015,7799960.25,2038178.08,147217182.1,186876930.3,16184231,2655418.06,2043457.83,5761782.16,11.55,0.04,2.17,296602.62,1376951.29,962955.08
4/19/2015,3059183.49,1667405.45,328814579.7,341848164.6,43261677.95,13574996.17,6061745.81,1391778.04,7.9,0,0.1,1347469.13,1289047.38,2388942.9
4/20/2015,1692819.19,2208615.84,342590491.6,359374278,51781466.78,9499455.62,4600079.49,-515796.65,6.94,0,-0.05,1823272.49,1040604.57,190519.32
4/21/2015,3607763.08,3156327.24,118411183.9,43733885.58,75046397.7,9330954.37,7133590.46,451435.83,0.58,0,0.05,420623.93,125882.64,2903910.1
4/22/2015,2450991.59,1706286.38,77607332.2,355716609.9,69105653.62,8503620.96,4654949.42,744705.2,5.15,0.01,0.09,1939821.22,1185130.5,1627125.33
4/23/2015,9367278.87,3308670.09,401342713.7,190361241,73788908.97,2902123.12,4509194.14,6058608.79,2.58,0.02,2.09,960478.38,1275990.68,979514.98
4/24/2015,8273083.42,2342352.43,256910190.7,213964345.8,10752731.37,3168399.07,1965935,5930730.98,19.9,0.02,1.87,1896858.71,1208669.11,1151491.32
4/25/2015,6700633.81,2984212.31,76173707.98,258105154.2,29590065.96,9811856.07,1746720.22,3716421.49,8.72,0.05,0.38,1385958.08,787294.6,292575.53
4/26/2015,8843145.31,2462569.38,497689842.7,372025390.6,69551585.96,6432461.43,7373668.63,6380575.93,5.35,0.01,0.99,673015.05,387707.67,2969113.59
4/27/2015,8233048.69,1825095.92,76001252.45,27264115.88,53559043.14,13924484.87,2958786.49,6407952.77,0.51,0.08,0.46,457774.8,1275728.46,213946.64
4/28/2015,2679130.53,4768039.88,362765853,201200518,10478212.81,7285676.99,3290616.91,-2088909.35,19.2,-0.01,-0.29,677096.59,1104386.07,1999230.66
4/29/2015,9033030.99,3936226.07,492655516.4,281334376.1,82404517.82,3862658.96,6198677.44,5096804.91,3.41,0.01,1.32,276733.08,1472103.7,1383934.19
4/30/2015,5854080.18,1130509.29,157631046.9,294628643.9,79552861.6,11291344.84,3041176.12,4723570.89,3.7,0.03,0.42,373349.14,275754.27,2851857.03
5/1/2015,8266961.4,4408105.89,114012215.9,283162324,59357724.67,5813594.48,7640468.35,3858855.5,4.77,0.03,0.66,298854.84,377213.65,813399.25
5/2/2015,9064821.7,2693440.39,104623222.7,71085349.18,15981699.32,8831114,6034458.27,6371381.31,4.45,0.06,0.72,903592.73,357107.32,1643051.79
5/3/2015,3862031.27,4525485.02,186473816.4,133770323.6,78986354.46,11071826.21,4980719.32,-663453.75,1.69,0,-0.06,1611598.91,1199182.66,1498833
5/4/2015,1990467.32,4099348.65,95470614.95,156311899.7,62534222.9,13703433.45,7106713.7,-2108881.33,2.5,-0.02,-0.15,368628.75,321015.58,2138312.69
5/5/2015,3051416.46,2413460.77,361472603.8,325686138.9,80376397.94,12298485.53,872044.31,637955.69,4.05,0,0.05,347608.82,146656.75,297229.67
5/6/2015,4843970.1,601111.89,78031309.16,125928751.5,77657229.32,10792693.88,2427970.19,4242858.21,1.62,0.05,0.39,1322515,1497913.17,661988.48
5/7/2015,8362132.89,1709048.12,279239957.7,100067886.3,82270186.48,10835231.37,3987772.51,6653084.78,1.22,0.02,0.61,474647.67,85984.96,722237.98
5/8/2015,8746575.25,2937353.97,498513584.2,383830247.2,56620725.98,14297020.37,2202339.05,5809221.28,6.78,0.01,0.41,285459.07,1261103.89,2240637.19
5/9/2015,1062569.17,3350651.99,416286621.3,23368048.34,22629206.64,5845713.27,6079288.9,-2288082.81,1.03,-0.01,-0.39,417012.3,579781.92,648502.22
5/10/2015,5596725.72,1660494.58,326848747.2,399171925.2,70404172.6,2014457.22,7394060.23,3936231.14,5.67,0.01,1.95,1855089.65,1270342.42,1763126.12
5/11/2015,4756699.03,1127102.33,187814129.4,277192093.6,65842640.65,5535409.27,3678275.9,3629596.7,4.21,0.02,0.66,1660795.38,854199.71,724207.08
5/12/2015,2998970.29,4257186.07,330753126.3,334818333.8,76802786.85,4832587.94,3065994.5,-1258215.77,4.36,0,-0.26,772722.67,1357365.28,2598712.36
5/13/2015,2078788.31,4929809.81,287168658.8,131955370.6,25289290.54,10603849.61,7711630.49,-2851021.51,5.22,-0.01,-0.27,1346059.46,1392979.83,2832337.82
5/14/2015,4038536.54,2865605.82,241737522.8,25439805.51,27547767.99,10238250.8,3836393.25,1172930.72,0.92,0,0.11,1120823.78,63192.36,1603629.63
5/15/2015,9486187.34,1272556.79,108819669.5,300390417.1,90136856.55,9714997.98,4167863,8213630.55,3.33,0.08,0.85,1386536.1,159347.66,1121695.76
5/16/2015,3908826.39,1725382.97,448971896.9,336974946.9,77498001.86,2211164.76,3137374.04,2183443.42,4.35,0,0.99,1397075.19,413020.16,778767.55
5/17/2015,5669115.6,582758.04,252403092,301380930.1,91740563.98,11474114.71,7321613.55,5086357.55,3.29,0.02,0.44,1294594.63,1020507.35,244364.9
5/18/2015,7327170.63,4614344.63,137580130.3,74283109.17,78284378.9,6205895.36,4767166.12,2712826,0.95,0.02,0.44,605592.6,1337994.68,878650.22
5/19/2015,4272666.42,1029879.87,215491707.9,306302610.5,63743977.54,10645727.86,6216309.4,3242786.55,4.81,0.02,0.3,174112.2,716915.83,1997283.76
5/20/2015,9746038.74,3094324.14,236358388.6,312190657.2,68871946.33,9235519.57,6588550.39,6651714.6,4.53,0.03,0.72,965576.89,930111.02,1647489.1
5/21/2015,9662025.65,1733248.49,422392053,270245396,90021513.15,6455502.03,3063867.81,7928777.16,3,0.02,1.23,1792850.38,323324.79,2837719.71
5/22/2015,3266040.66,2993801.01,380126471.3,311124054.5,62092607.91,3749491.47,3752707.48,272239.65,5.01,0,0.07,1182044.79,1217201.91,1249204.06
5/23/2015,5475236.55,3431391.75,396187202.1,341450147.1,66915219.19,3227445.67,6863538.31,2043844.81,5.1,0.01,0.63,1681542.98,1452625.76,2112203.69
5/24/2015,3707904.79,4233838.12,54964068.99,253169563.4,24082904.44,12809738.33,3224415.14,-525933.33,10.51,-0.01,-0.04,1984086.25,439468.45,1519035.97
5/25/2015,3563564.45,1428895.72,237269299.2,53669791.31,52652909.81,13939168.05,6454513.5,2134668.73,1.02,0.01,0.15,410870.79,767497.63,1586471.03
5/26/2015,1331982.53,549481.23,266604868.2,205298567.7,74475740.08,10447244.61,7557442.42,782501.3,2.76,0,0.07,1414377.51,174868.36,876545.51
5/27/2015,6486079.01,1115985.34,58636524.57,49506747.18,34384842.85,3344643.49,5174077.8,5370093.67,1.44,0.09,1.61,1381157.79,860748.15,1419357.25
5/28/2015,5524111.21,4550083.89,166915943.9,174866351.8,28202876.25,7226353.82,6062204.66,974027.32,6.2,0.01,0.13,1961915.35,779035.99,1465276.49
5/29/2015,1463308.76,4432505.35,392130420.4,174700465.9,38244412.74,11476209.6,6538229.84,-2969196.59,4.57,-0.01,-0.26,1972641.39,259432.9,2149263.31
5/30/2015,3507818.18,3188358.96,111699367.6,45083740.77,31735056.52,12137671.49,6837797.37,319459.22,1.42,0,0.03,1404689.36,690996.01,2827856
5/31/2015,9174392.97,3202325.87,290889559.2,152551802.9,29342137.33,3536842.09,3462900.03,5972067.1,5.2,0.02,1.69,562868.1,534451.75,1055031.7
6/1/2015,3156057.02,3492665.04,146840842.4,62179277.54,48236575.86,2000399.34,884475.94,-336608.02,1.29,0,-0.17,1617256.09,806654.77,222381.36
6/2/2015,2304053.85,1289170.75,55454348.59,327129379.8,91705466.25,11257781.6,3514072.03,1014883.1,3.57,0.02,0.09,303355.36,899198.79,1539255.86
6/3/2015,5405074.84,4614853.76,158540655.9,380121449.9,55635368.21,6635750.29,5553171.72,790221.09,6.83,0,0.12,1583328.68,62318.59,1678937.86
6/4/2015,9870854.09,2384467.36,489143189.7,47480260.6,26912834.27,5308257.31,3877627.89,7486386.72,1.76,0.02,1.41,1829372.64,1153458.68,588477.6
6/5/2015,3178497.44,2224123.38,410691700.4,382943778.8,16927450.24,2167667.11,6117223.63,954374.07,22.62,0,0.44,827383.45,1083870.72,2305347.36
6/6/2015,7049219.93,2835129.67,481809489.9,218579107.8,72654053.06,9023892.29,3177368.22,4214090.25,3.01,0.01,0.47,1298207.06,581115.26,2956294.41
6/7/2015,7854576.54,711346.85,269534319.8,133834957.6,44451888.8,13064959.56,5260581.06,7143229.69,3.01,0.03,0.55,917271.19,126757.11,2842746.68
6/8/2015,3138737.9,1248275.16,99381289.4,49207588.6,83964785.19,14449211.4,1898148.54,1890462.74,0.59,0.02,0.13,931753.6,1144652.18,671607.51
6/9/2015,7553947.14,3821151.27,296581770,210237221.9,69355969.18,9354684.36,6120270.77,3732795.86,3.03,0.01,0.4,689704.69,1435003.98,2638553.4
6/10/2015,4310048.19,872594.01,254469800.6,321915906.9,81661730.55,8687997.26,4592719.77,3437454.19,3.94,0.01,0.4,1548046.28,398219.81,2143031.55
6/11/2015,6690752.48,3214184.49,429960687.2,288692861.4,34475143.55,3105733.01,2030482.91,3476567.98,8.37,0.01,1.12,1878735.47,519110.69,1416155.04
6/12/2015,6701767.4,1604070.99,94137161.35,39085884.36,72312303.02,9135346.42,2689333.8,5097696.4,0.54,0.05,0.56,1887426.63,316528.69,1667771.88
6/13/2015,5821972.16,2251830.26,269708511.7,47702697.44,33765578.62,6939728.03,6114565.31,3570141.89,1.41,0.01,0.51,432084.44,886557.38,2563840.51
6/14/2015,1812607.93,1799121.82,117521899.1,173091847.4,94516163.15,9892758.65,4119509.27,13486.12,1.83,0,0,1762012.93,274520.02,1492391.32
6/15/2015,8517722.46,2100527.22,196104167.1,132210387.7,67273685.34,7053442.52,2120235.8,6417195.24,1.97,0.03,0.91,1501119.74,566481.22,1182301.37
6/16/2015,3887020.58,3735706.57,381810684.8,108306042.8,39206062.02,5123888.6,7754533.93,151314.01,2.76,0,0.03,580391.06,1060668.87,1530417.73
